MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,ScreenPorch,SaleCondition,YrSold,Prediccion_Escalada,Precio_Predicho_USD
20,RH,80.0,Reg,Lvl,Inside,NAmes,5,6,1961,Gable,VinylSd,TA,CBlock,TA,No,Rec,TA,Y,896,0,896,0.0,0,TA,5,Typ,0,,Unf,1.0,730.0,Y,140,120,Normal,2010,11.638875534527806,113422.55344864173
20,RL,81.0,IR1,Lvl,Corner,NAmes,6,6,1958,Hip,Wd Sdng,TA,CBlock,TA,No,ALQ,TA,Y,1329,0,1329,0.0,1,Gd,6,Typ,0,,Unf,1.0,312.0,Y,393,0,Normal,2010,11.950446123213661,154886.2295077972
60,RL,74.0,IR1,Lvl,Inside,Gilbert,5,5,1998,Gable,VinylSd,TA,PConc,Gd,No,GLQ,Gd,Y,928,701,1629,0.0,1,TA,6,Typ,1,TA,Fin,2.0,482.0,Y,212,0,Normal,2010,12.078957734203495,176126.49442740786
60,RL,78.0,IR1,Lvl,Inside,Gilbert,6,6,1998,Gable,VinylSd,TA,PConc,TA,No,GLQ,Ex,Y,926,678,1604,0.0,1,Gd,7,Typ,1,Gd,Fin,2.0,470.0,Y,360,0,Normal,2010,12.19714119849834,198221.6639722352
120,RL,43.0,IR1,HLS,Inside,StoneBr,8,5,1992,Gable,HdBoard,Gd,PConc,Gd,No,ALQ,Ex,Y,1280,0,1280,0.0,0,Gd,5,Typ,0,,RFn,2.0,506.0,Y,0,144,Normal,2010,12.261441832858848,211386.1496188777
60,RL,75.0,IR1,Lvl,Corner,Gilbert,6,5,1994,Gable,HdBoard,TA,PConc,Gd,No,Unf,Gd,Y,763,892,1655,0.0,1,TA,7,Typ,1,TA,Fin,2.0,440.0,Y,157,0,Normal,2010,12.05453702558266,171877.4540796535
20,RL,,IR1,Lvl,Inside,Gilbert,6,7,2007,Gable,HdBoard,TA,PConc,Gd,No,ALQ,Ex,Y,1187,0,1187,1.0,0,TA,6,Typ,0,,Fin,2.0,420.0,Y,483,0,Normal,2010,12.107806787958888,181281.57926332104
60,RL,63.0,IR1,Lvl,Inside,Gilbert,6,5,1998,Gable,VinylSd,TA,PConc,Gd,No,Unf,Gd,Y,789,676,1465,0.0,1,TA,7,Typ,1,Gd,Fin,2.0,393.0,Y,0,0,Normal,2010,12.020990083946353,166207.13387972576
20,RL,85.0,Reg,Lvl,Inside,Gilbert,7,5,1990,Gable,HdBoard,TA,PConc,Gd,Gd,GLQ,Gd,Y,1341,0,1341,1.0,1,Gd,5,Typ,1,Po,Unf,2.0,506.0,Y,192,0,Normal,2010,12.215040540065385,201801.64531514977
20,RL,70.0,Reg,Lvl,Corner,NAmes,4,5,1970,Gable,Plywood,TA,CBlock,TA,No,ALQ,TA,Y,882,0,882,1.0,0,TA,4,Typ,0,,Fin,2.0,525.0,Y,240,0,Normal,2010,11.659173766665631,115748.35575018877
120,RH,26.0,IR1,Lvl,FR2,NAmes,7,5,1999,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1337,0,1337,1.0,0,Gd,5,Typ,1,Fa,Fin,2.0,511.0,Y,203,0,Normal,2010,12.11470664075881,182536.72064139423
160,RM,21.0,Reg,Lvl,Inside,BrDale,6,5,1971,Gable,HdBoard,TA,CBlock,TA,No,Rec,TA,Y,483,504,987,0.0,1,TA,5,Typ,0,,Unf,1.0,264.0,Y,275,0,Normal,2010,11.469929488084237,95791.52438615148
160,RM,21.0,Reg,Lvl,Inside,BrDale,5,5,1971,Gable,HdBoard,TA,CBlock,TA,No,Rec,TA,Y,525,567,1092,0.0,1,TA,6,Typ,0,,Unf,1.0,320.0,Y,0,0,Normal,2010,11.450536400689142,93951.72830577227
160,RL,24.0,Reg,Lvl,FR2,NPkVill,6,6,1975,Gable,Plywood,TA,CBlock,TA,No,ALQ,TA,Y,855,601,1456,0.0,1,Gd,6,Typ,1,TA,Unf,2.0,440.0,Y,173,0,Normal,2010,12.004179494968817,163436.44774821543
120,RL,24.0,Reg,Lvl,FR2,NPkVill,7,6,1975,Gable,Plywood,TA,CBlock,Gd,No,Unf,Ex,Y,836,0,836,0.0,0,TA,4,Typ,0,,Unf,1.0,308.0,Y,0,0,Normal,2010,11.756899417990804,127631.10860079003
